loc,cases,deaths,date,Region,year
DAGUPAN CITY,20,0,7/1/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,14,0,14/01/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,9,0,21/01/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,6,0,28/01/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,5,0,4/2/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,9,0,11/2/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,2,0,18/02/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,9,0,25/02/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,5,0,4/3/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,3,0,11/3/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,2,0,18/03/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,0,0,25/03/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,2,0,1/4/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,1,0,8/4/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,1,0,15/04/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,1,0,22/04/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,2,0,29/04/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,1,0,6/5/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,1,0,13/05/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,3,0,20/05/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,1,0,27/05/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,4,0,3/6/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,3,0,10/6/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,4,0,17/06/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,4,0,24/06/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,6,0,1/7/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,10,0,8/7/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,13,0,15/07/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,12,0,22/07/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,18,0,29/07/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,10,0,5/8/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,29,0,12/8/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,20,0,19/08/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,18,0,26/08/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,21,1,2/9/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,30,0,9/9/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,20,0,16/09/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,21,0,23/09/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,22,0,30/09/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,20,0,7/10/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,11,0,14/10/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,18,0,21/10/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,11,0,28/10/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,13,0,4/11/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,13,0,11/11/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,8,0,18/11/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,14,0,25/11/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,9,1,2/12/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,11,0,9/12/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,13,0,16/12/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,3,0,23/12/2018,Region I-ILOCOS REGION,2018
DAGUPAN CITY,1,0,30/12/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,3,0,7/1/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,10,0,14/01/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,3,0,21/01/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,2,0,28/01/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,3,0,4/2/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,3,0,11/2/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,3,0,18/02/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,5,0,25/02/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,8,0,4/3/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,5,0,11/3/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,5,0,18/03/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,5,0,25/03/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,5,0,1/4/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,2,0,8/4/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,2,0,15/04/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,8,0,22/04/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,6,0,29/04/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,4,0,6/5/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,8,0,13/05/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,9,0,20/05/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,5,0,27/05/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,8,0,3/6/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,24,0,10/6/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,14,0,17/06/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,26,2,24/06/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,77,0,1/7/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,109,1,8/7/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,85,0,15/07/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,113,2,22/07/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,155,0,29/07/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,169,0,5/8/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,137,0,12/8/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,106,0,19/08/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,71,0,26/08/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,49,0,2/9/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,45,0,9/9/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,27,0,16/09/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,33,0,23/09/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,36,0,30/09/2018,Region I-ILOCOS REGION,2018
ILOCOS NORTE,33,1,7/10/2018,Region I-ILOCOS REGION,2018
