loc,cases,deaths,date,Region,year
ALBAY,10,0,1/1/2017,REGION V-BICOL REGION,2017
ANGELES CITY,41,0,1/1/2017,REGION III-CENTRAL LUZON,2017
AURORA,1,0,1/1/2017,REGION III-CENTRAL LUZON,2017
BATAAN,79,0,1/1/2017,REGION III-CENTRAL LUZON,2017
BATANES,0,0,1/1/2017,Region II-CAGAYAN VALLEY,2017
BATANGAS,57,0,1/1/2017,REGION IV-A-CALABARZON,2017
BULACAN,76,0,1/1/2017,REGION III-CENTRAL LUZON,2017
CAGAYAN,1,0,1/1/2017,Region II-CAGAYAN VALLEY,2017
CAMARINES NORTE,4,0,1/1/2017,REGION V-BICOL REGION,2017
CAMARINES SUR,9,0,1/1/2017,REGION V-BICOL REGION,2017
CATANDUANES,0,0,1/1/2017,REGION V-BICOL REGION,2017
CAVITE,64,0,1/1/2017,REGION IV-A-CALABARZON,2017
DAGUPAN CITY,3,0,1/1/2017,Region I-ILOCOS REGION,2017
ILOCOS NORTE,7,0,1/1/2017,Region I-ILOCOS REGION,2017
ILOCOS SUR,4,0,1/1/2017,Region I-ILOCOS REGION,2017
ISABELA,1,0,1/1/2017,Region II-CAGAYAN VALLEY,2017
LA UNION,3,0,1/1/2017,Region I-ILOCOS REGION,2017
LAGUNA,69,0,1/1/2017,REGION IV-A-CALABARZON,2017
LUCENA CITY,6,0,1/1/2017,REGION IV-A-CALABARZON,2017
MARINDUQUE,3,0,1/1/2017,REGION IVB-MIMAROPA,2017
MASBATE,6,0,1/1/2017,REGION V-BICOL REGION,2017
NAGA CITY,4,0,1/1/2017,REGION V-BICOL REGION,2017
NUEVA ECIJA,34,0,1/1/2017,REGION III-CENTRAL LUZON,2017
NUEVA VISCAYA,2,0,1/1/2017,Region II-CAGAYAN VALLEY,2017
OCCIDENTAL MINDORO,14,0,1/1/2017,REGION IVB-MIMAROPA,2017
OLONGAPO CITY,4,0,1/1/2017,REGION III-CENTRAL LUZON,2017
ORIENTAL MINDORO,10,0,1/1/2017,REGION IVB-MIMAROPA,2017
PALAWAN,3,0,1/1/2017,REGION IVB-MIMAROPA,2017
PAMPANGA,128,0,1/1/2017,REGION III-CENTRAL LUZON,2017
PANGASINAN,13,0,1/1/2017,Region I-ILOCOS REGION,2017
PUERTO PRINCESA CITY,2,0,1/1/2017,REGION IVB-MIMAROPA,2017
QUEZON,10,0,1/1/2017,REGION IV-A-CALABARZON,2017
QUIRINO,0,0,1/1/2017,Region II-CAGAYAN VALLEY,2017
RIZAL,28,0,1/1/2017,REGION IV-A-CALABARZON,2017
ROMBLON,5,0,1/1/2017,REGION IVB-MIMAROPA,2017
SANTIAGO CITY,0,0,1/1/2017,Region II-CAGAYAN VALLEY,2017
